Z daughter, A daughter, element daughter, Z parent, A parent, element parent, daughter level idx, independent thermal fy, unc, independent fast fy, unc, independent 14MeV fy, unc,Extraction_date
35,80,Br,90,232,Th,2,,,0.00000000014521,0.000000000054179,0.00000000053931,0.00000000023898,2025-04-14
35,81,Br,90,232,Th,0,,,0.000000019507,0.0000000069694,0.000000047286,0.000000021055,2025-04-14
35,82,Br,90,232,Th,0,,,0.00000064132,0.00000021244,0.0000011792,0.00000054043,2025-04-14
35,82,Br,90,232,Th,1,,,0.00000023528,0.000000077938,0.00000026113,0.00000011968,2025-04-14
35,83,Br,90,232,Th,0,,,0.00002722,0.0000084959,0.000030507,0.00001494,2025-04-14
35,84,Br,90,232,Th,0,,,0.00023403,0.00007038,0.00017793,0.000074295,2025-04-14
35,84,Br,90,232,Th,1,,,0.00023403,0.00007038,0.00017793,0.000074295,2025-04-14
35,85,Br,90,232,Th,0,,,0.0026952,0.00087081,0.0028517,0.001022,2025-04-14
35,86,Br,90,232,Th,0,,,0.013456,0.0033822,0.01123,0.0030049,2025-04-14
35,87,Br,90,232,Th,0,,,0.034119,0.005748,0.032227,0.0052857,2025-04-14
35,88,Br,90,232,Th,0,,,0.041989,0.0058711,0.031395,0.0042846,2025-04-14
35,89,Br,90,232,Th,0,,,0.039711,0.0063848,0.028254,0.005609,2025-04-14
35,90,Br,90,232,Th,0,,,0.018656,0.0061676,0.013583,0.0048391,2025-04-14
35,91,Br,90,232,Th,0,,,0.01068,0.003732,0.0062891,0.0024368,2025-04-14
35,92,Br,90,232,Th,0,,,0.0029198,0.0010405,0.0013414,0.00048363,2025-04-14
35,93,Br,90,232,Th,0,,,0.00049111,0.00018288,0.00020485,0.000076286,2025-04-14
35,94,Br,90,232,Th,0,,,0.000046557,0.000016606,0.000017653,0.0000062181,2025-04-14
35,95,Br,90,232,Th,0,,,0.000003523,0.0000012799,0.00000087042,0.00000031743,2025-04-14
35,96,Br,90,232,Th,0,,,0.00000012263,0.000000048183,0.000000022615,0.0000000082102,2025-04-14
35,97,Br,90,232,Th,0,,,0.0000000035687,0.0000000012658,0.00000000042067,0.00000000015162,2025-04-14
36,80,Kr,90,232,Th,0,,,0,0,0,0,2025-04-14
36,82,Kr,90,232,Th,0,,,0.00000000012994,0.000000000043046,0.00000000020532,0.000000000094127,2025-04-14
36,83,Kr,90,232,Th,0,,,0.0000000096833,0.000000003025,0.000000011648,0.0000000057303,2025-04-14
36,83,Kr,90,232,Th,2,,,0.0000000019497,0.00000000060907,0.0000000014632,0.00000000071983,2025-04-14
36,84,Kr,90,232,Th,0,,,0.00000089668,0.00000027268,0.00000070485,0.00000030387,2025-04-14
36,85,Kr,90,232,Th,0,,,0.000011472,0.0000040123,0.000013127,0.0000055362,2025-04-14
36,85,Kr,90,232,Th,1,,,0.0000023099,0.00000080787,0.000001649,0.00000069545,2025-04-14
36,86,Kr,90,232,Th,0,,,0.00027455,0.000086846,0.00023578,0.000089007,2025-04-14
36,87,Kr,90,232,Th,0,,,0.0016807,0.00055116,0.0017326,0.0005782,2025-04-14
36,88,Kr,90,232,Th,0,,,0.0094008,0.0026267,0.0087178,0.0023346,2025-04-14
36,89,Kr,90,232,Th,0,,,0.027504,0.0055358,0.028152,0.0050758,2025-04-14
36,90,Kr,90,232,Th,0,,,0.052351,0.006526,0.045576,0.0063108,2025-04-14
36,91,Kr,90,232,Th,0,,,0.046257,0.0066255,0.035023,0.0049951,2025-04-14
36,92,Kr,90,232,Th,0,,,0.033174,0.0061443,0.020636,0.0048954,2025-04-14
36,93,Kr,90,232,Th,0,,,0.013352,0.0047229,0.0086488,0.0033242,2025-04-14
36,94,Kr,90,232,Th,0,,,0.0056742,0.0020872,0.0035783,0.0013195,2025-04-14
36,95,Kr,90,232,Th,0,,,0.0012599,0.00046522,0.00053119,0.00019563,2025-04-14
36,96,Kr,90,232,Th,0,,,0.00019397,0.000076522,0.000061913,0.000022508,2025-04-14
36,97,Kr,90,232,Th,0,,,0.000015501,0.0000055001,0.0000031994,0.0000011532,2025-04-14
36,98,Kr,90,232,Th,0,,,0.00000091951,0.00000035586,0.00000014995,0.000000055132,2025-04-14
36,99,Kr,90,232,Th,0,,,0.000000024207,0.0000000084476,0.0000000029988,0.0000000010589,2025-04-14
36,100,Kr,90,232,Th,0,,,0.00000000038062,0.00000000014525,0.000000000055506,0.000000000020815,2025-04-14
