Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.3953 ;  ;  ;  ;  ;  ; 577.8213 ; 
1.399375 ;  ;  ;  ;  ;  ; 510.0592 ; 
1.40345 ;  ;  ;  ;  ;  ; 453.8658 ; 
1.407525 ;  ;  ;  ;  ;  ; 407.3668 ; 
1.4116 ;  ;  ;  ;  ;  ; 368.8896 ; 
1.415675 ;  ;  ;  ;  ;  ; 337.0043 ; 
1.41975 ;  ;  ;  ;  ;  ; 310.5241 ; 
1.423825 ;  ;  ;  ;  ;  ; 288.484 ; 
1.4279 ;  ;  ;  ;  ;  ; 270.1088 ; 
1.431975 ;  ;  ;  ;  ;  ; 254.7815 ; 
1.43605 ;  ;  ;  ;  ;  ; 242.0123 ; 
1.4442 ;  ;  ;  ;  ;  ; 222.6786 ; 
1.45235 ;  ;  ;  ;  ;  ; 209.8782 ; 
1.4605 ;  ;  ;  ;  ;  ; 202.2153 ; 
1.46865 ;  ;  ;  ;  ;  ; 198.8309 ; 
1.479347 ;  ;  ;  ;  ;  ; 200.0963 ; 
1.490044 ;  ;  ;  ;  ;  ; 207.5116 ; 
1.500741 ;  ;  ;  ;  ;  ; 221.3641 ; 
1.511438 ;  ;  ;  ;  ;  ; 242.6514 ; 
1.516787 ;  ;  ;  ;  ;  ; 256.6325 ; 
1.522135 ;  ;  ;  ;  ;  ; 273.2709 ; 
1.527484 ;  ;  ;  ;  ;  ; 293.0235 ; 
1.532832 ;  ;  ;  ;  ;  ; 316.4699 ; 
1.538181 ;  ;  ;  ;  ;  ; 344.3876 ; 
1.543529 ;  ;  ;  ;  ;  ; 377.7811 ; 
1.548877 ;  ;  ;  ;  ;  ; 418.0053 ; 
1.554225 ;  ;  ;  ;  ;  ; 466.8702 ; 
1.559829 ;  ;  ;  ;  ;  ; 530.015 ; 
1.565432 ;  ;  ;  ;  ;  ; 609.1363 ; 
1.571035 ;  ;  ;  ;  ;  ; 709.4267 ; 
1.573837 ;  ;  ;  ;  ;  ; 769.6012 ; 
1.576638 ;  ;  ;  ;  ;  ; 837.7776 ; 
1.57944 ;  ;  ;  ;  ;  ; 915.1667 ; 
1.582241 ;  ;  ;  ;  ;  ; 1002.987 ; 
1.585043 ;  ;  ;  ;  ;  ; 1102.664 ; 
1.587844 ;  ;  ;  ;  ;  ; 1215.543 ; 
1.590646 ;  ;  ;  ;  ;  ; 1343.115 ; 
1.593447 ;  ;  ;  ;  ;  ; 1486.615 ; 
1.596249 ;  ;  ;  ;  ;  ; 1647.287 ; 
1.59905 ;  ;  ;  ;  ;  ; 1825.847 ; 
1.602107 ;  ;  ;  ;  ;  ; 2041.638 ; 
1.605163 ;  ;  ;  ;  ;  ; 2278.835 ; 
1.608219 ;  ;  ;  ;  ;  ; 2536.095 ; 
1.611275 ;  ;  ;  ;  ;  ; 2810.728 ; 
1.617388 ;  ;  ;  ;  ;  ; 3394.286 ; 
1.6235 ;  ;  ;  ;  ;  ; 3979.305 ; 
1.628625 ;  ;  ;  ;  ;  ; 4421.72 ; 
1.63375 ;  ;  ;  ;  ;  ; 4773.838 ; 
1.638875 ;  ;  ;  ;  ;  ; 4996.902 ; 
1.644 ;  ;  ;  ;  ;  ; 5064.762 ; 
1.649125 ;  ;  ;  ;  ;  ; 4969.406 ; 
1.653013 ;  ;  ;  ;  ;  ; 4794.752 ; 
1.656901 ;  ;  ;  ;  ;  ; 4544.6 ; 
1.660789 ;  ;  ;  ;  ;  ; 4235.191 ; 
1.664676 ;  ;  ;  ;  ;  ; 3885.197 ; 
1.672452 ;  ;  ;  ;  ;  ; 3137.231 ; 
1.680227 ;  ;  ;  ;  ;  ; 2427.795 ; 
1.684814 ;  ;  ;  ;  ;  ; 2060.123 ; 
1.689401 ;  ;  ;  ;  ;  ; 1739.401 ; 
1.693988 ;  ;  ;  ;  ;  ; 1466.57 ; 
1.698575 ;  ;  ;  ;  ;  ; 1238.816 ; 
1.703162 ;  ;  ;  ;  ;  ; 1051.148 ; 
1.707749 ;  ;  ;  ;  ;  ; 897.6755 ; 
1.712336 ;  ;  ;  ;  ;  ; 772.5084 ; 
1.716923 ;  ;  ;  ;  ;  ; 670.2881 ; 
1.720855 ;  ;  ;  ;  ;  ; 597.4325 ; 
1.724787 ;  ;  ;  ;  ;  ; 535.6523 ; 
1.728719 ;  ;  ;  ;  ;  ; 482.9615 ; 
1.73265 ;  ;  ;  ;  ;  ; 437.7528 ; 
1.736582 ;  ;  ;  ;  ;  ; 398.6963 ; 
1.740513 ;  ;  ;  ;  ;  ; 364.7597 ; 
1.744445 ;  ;  ;  ;  ;  ; 335.0786 ; 
1.748376 ;  ;  ;  ;  ;  ; 308.9843 ; 
1.75624 ;  ;  ;  ;  ;  ; 265.4058 ; 
1.764103 ;  ;  ;  ;  ;  ; 230.6992 ; 
1.771966 ;  ;  ;  ;  ;  ; 202.5818 ; 
1.779829 ;  ;  ;  ;  ;  ; 179.4605 ; 
1.787037 ;  ;  ;  ;  ;  ; 161.6764 ; 
1.794245 ;  ;  ;  ;  ;  ; 146.4867 ; 
1.801453 ;  ;  ;  ;  ;  ; 133.4042 ; 
1.808661 ;  ;  ;  ;  ;  ; 122.0541 ; 
1.815869 ;  ;  ;  ;  ;  ; 112.1435 ; 
1.823077 ;  ;  ;  ;  ;  ; 103.4391 ; 
1.837493 ;  ;  ;  ;  ;  ; 88.93291 ; 
1.851909 ;  ;  ;  ;  ;  ; 77.41007 ; 
1.866325 ;  ;  ;  ;  ;  ; 68.10856 ; 
1.880741 ;  ;  ;  ;  ;  ; 60.50004 ; 
1.895157 ;  ;  ;  ;  ;  ; 54.20171 ; 
1.908263 ;  ;  ;  ;  ;  ; 49.36584 ; 
1.921368 ;  ;  ;  ;  ;  ; 45.2052 ; 
1.934474 ;  ;  ;  ;  ;  ; 41.59873 ; 
1.947579 ;  ;  ;  ;  ;  ; 38.45801 ; 
1.97379 ;  ;  ;  ;  ;  ; 33.29953 ; 
2.0 ;  ;  ;  ;  ;  ; 29.29294 ; 
2.026438 ;  ;  ;  ;  ;  ; 26.11714 ; 
2.052875 ;  ;  ;  ;  ;  ; 23.60546 ; 
2.079313 ;  ;  ;  ;  ;  ; 21.6175 ; 
2.10575 ;  ;  ;  ;  ;  ; 20.05925 ; 
2.132188 ;  ;  ;  ;  ;  ; 18.87259 ; 
2.158625 ;  ;  ;  ;  ;  ; 18.03417 ; 
2.185063 ;  ;  ;  ;  ;  ; 17.56461 ; 
2.2115 ;  ;  ;  ;  ;  ; 17.55985 ; 
2.224058 ;  ;  ;  ;  ;  ; 17.78888 ; 
2.236616 ;  ;  ;  ;  ;  ; 18.2451 ; 
2.249174 ;  ;  ;  ;  ;  ; 19.04646 ; 
2.261732 ;  ;  ;  ;  ;  ; 20.41853 ; 
2.268011 ;  ;  ;  ;  ;  ; 21.4465 ; 
2.27429 ;  ;  ;  ;  ;  ; 22.81648 ; 
2.280569 ;  ;  ;  ;  ;  ; 24.65657 ; 
2.286848 ;  ;  ;  ;  ;  ; 27.13625 ; 
2.293127 ;  ;  ;  ;  ;  ; 30.46363 ; 
2.299406 ;  ;  ;  ;  ;  ; 34.86667 ; 
2.305685 ;  ;  ;  ;  ;  ; 40.55014 ; 
2.311963 ;  ;  ;  ;  ;  ; 47.6247 ; 
2.318573 ;  ;  ;  ;  ;  ; 56.49773 ; 
2.325182 ;  ;  ;  ;  ;  ; 66.43355 ; 
2.331791 ;  ;  ;  ;  ;  ; 76.65962 ; 
2.3384 ;  ;  ;  ;  ;  ; 86.08265 ; 
2.3428 ;  ;  ;  ;  ;  ; 91.3021 ; 
2.3472 ;  ;  ;  ;  ;  ; 95.27584 ; 
2.3516 ;  ;  ;  ;  ;  ; 97.72904 ; 
2.356 ;  ;  ;  ;  ;  ; 98.48745 ; 
2.3604 ;  ;  ;  ;  ;  ; 97.49965 ; 
2.3648 ;  ;  ;  ;  ;  ; 94.84338 ; 
2.3692 ;  ;  ;  ;  ;  ; 90.7149 ; 
2.3736 ;  ;  ;  ;  ;  ; 85.40348 ; 
2.383756 ;  ;  ;  ;  ;  ; 70.55655 ; 
2.393912 ;  ;  ;  ;  ;  ; 55.45991 ; 
2.39899 ;  ;  ;  ;  ;  ; 48.78095 ; 
2.404068 ;  ;  ;  ;  ;  ; 42.94805 ; 
2.409146 ;  ;  ;  ;  ;  ; 38.01692 ; 
2.414223 ;  ;  ;  ;  ;  ; 33.95918 ; 
2.418455 ;  ;  ;  ;  ;  ; 31.18415 ; 
2.422686 ;  ;  ;  ;  ;  ; 28.89439 ; 
2.426918 ;  ;  ;  ;  ;  ; 27.02078 ; 
2.431149 ;  ;  ;  ;  ;  ; 25.4981 ; 
2.439612 ;  ;  ;  ;  ;  ; 23.27033 ; 
2.448074 ;  ;  ;  ;  ;  ; 21.82394 ; 
2.456537 ;  ;  ;  ;  ;  ; 20.89446 ; 
2.465 ;  ;  ;  ;  ;  ; 20.31436 ; 
2.481925 ;  ;  ;  ;  ;  ; 19.83016 ; 
2.502236 ;  ;  ;  ;  ;  ; 20.01178 ; 
2.522547 ;  ;  ;  ;  ;  ; 20.77059 ; 
