Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
125.2561 ;  ;  ; 30.83155 ;  ; 1.995E-11
125.4638 ;  ;  ; 27.31643 ;  ; 1.99831E-11
125.6715 ;  ;  ; 24.37531 ;  ; 2.00162E-11
125.8793 ;  ;  ; 21.88127 ;  ; 2.00493E-11
126.087 ;  ;  ; 19.73941 ;  ; 2.00824E-11
126.2948 ;  ;  ; 17.88827 ;  ; 2.01155E-11
126.5025 ;  ;  ; 16.28334 ;  ; 2.01486E-11
126.7103 ;  ;  ; 14.88255 ;  ; 2.01817E-11
126.918 ;  ;  ; 13.65407 ;  ; 2.02147E-11
127.3334 ;  ;  ; 11.60964 ;  ; 2.02809E-11
127.7489 ;  ;  ; 9.988548 ;  ; 2.03471E-11
128.1643 ;  ;  ; 8.682484 ;  ; 2.04132E-11
128.5798 ;  ;  ; 7.614598 ;  ; 2.04794E-11
128.9952 ;  ;  ; 6.73159 ;  ; 2.05456E-11
129.3918 ;  ;  ; 6.031403 ;  ; 2.06088E-11
129.7884 ;  ;  ; 5.430928 ;  ; 2.06719E-11
130.185 ;  ;  ; 4.911509 ;  ; 2.07351E-11
130.5815 ;  ;  ; 4.46115 ;  ; 2.07982E-11
130.9781 ;  ;  ; 4.070615 ;  ; 2.08614E-11
131.3747 ;  ;  ; 3.728562 ;  ; 2.09246E-11
131.7713 ;  ;  ; 3.42672 ;  ; 2.09877E-11
132.1678 ;  ;  ; 3.160582 ;  ; 2.10509E-11
132.961 ;  ;  ; 2.711804 ;  ; 2.11772E-11
133.7541 ;  ;  ; 2.351759 ;  ; 2.13035E-11
134.5472 ;  ;  ; 2.057997 ;  ; 2.14299E-11
135.3403 ;  ;  ; 1.815274 ;  ; 2.15562E-11
136.0579 ;  ;  ; 1.630522 ;  ; 2.16705E-11
136.7755 ;  ;  ; 1.472314 ;  ; 2.17848E-11
137.4931 ;  ;  ; 1.33877 ;  ; 2.18991E-11
138.2107 ;  ;  ; 1.218881 ;  ; 2.20134E-11
139.6459 ;  ;  ; 1.022891 ;  ; 2.2242E-11
141.0811 ;  ;  ; 0.8707683 ;  ; 2.24705E-11
142.5163 ;  ;  ; 0.7496905 ;  ; 2.26991E-11
143.9515 ;  ;  ; 0.6514576 ;  ; 2.29277E-11
145.3867 ;  ;  ; 0.570789 ;  ; 2.31563E-11
146.8219 ;  ;  ; 0.5040358 ;  ; 2.33849E-11
148.1816 ;  ;  ; 0.45099 ;  ; 2.36015E-11
149.5413 ;  ;  ; 0.4057811 ;  ; 2.3818E-11
150.901 ;  ;  ; 0.366893 ;  ; 2.40346E-11
152.2606 ;  ;  ; 0.333969 ;  ; 2.42511E-11
153.6203 ;  ;  ; 0.3043594 ;  ; 2.44677E-11
154.98 ;  ;  ; 0.2788098 ;  ; 2.46843E-11
156.3397 ;  ;  ; 0.2554373 ;  ; 2.49008E-11
157.6993 ;  ;  ; 0.2358599 ;  ; 2.51174E-11
159.059 ;  ;  ; 0.2173979 ;  ; 2.53339E-11
160.4187 ;  ;  ; 0.2018123 ;  ; 2.55505E-11
163.138 ;  ;  ; 0.1744046 ;  ; 2.59836E-11
165.8573 ;  ;  ; 0.1520547 ;  ; 2.64167E-11
168.5766 ;  ;  ; 0.1336678 ;  ; 2.68499E-11
170.5406 ;  ;  ; 0.1224404 ;  ; 2.71627E-11
172.5046 ;  ;  ; 0.1125191 ;  ; 2.74755E-11
176.4325 ;  ;  ; 0.09573621 ;  ; 2.81011E-11
180.3604 ;  ;  ; 0.08234321 ;  ; 2.87267E-11
184.2883 ;  ;  ; 0.07156004 ;  ; 2.93523E-11
188.2163 ;  ;  ; 0.06286998 ;  ; 2.99779E-11
190.1803 ;  ;  ; 0.05878488 ;  ; 3.02907E-11
192.1442 ;  ;  ; 0.05541465 ;  ; 3.06035E-11
196.0721 ;  ;  ; 0.0491222 ;  ; 3.12291E-11
200.0 ;  ;  ; 0.04380292 ;  ; 3.18548E-11
203.5157 ;  ;  ; 0.03982974 ;  ; 3.24147E-11
207.0313 ;  ;  ; 0.03631285 ;  ; 3.29747E-11
210.5469 ;  ;  ; 0.03318264 ;  ; 3.35346E-11
214.0625 ;  ;  ; 0.03040845 ;  ; 3.40945E-11
221.0938 ;  ;  ; 0.02587485 ;  ; 3.52144E-11
228.125 ;  ;  ; 0.02218231 ;  ; 3.63343E-11
235.1563 ;  ;  ; 0.0192485 ;  ; 3.74542E-11
242.1875 ;  ;  ; 0.01679958 ;  ; 3.85741E-11
249.2188 ;  ;  ; 0.01483572 ;  ; 3.9694E-11
256.25 ;  ;  ; 0.01310575 ;  ; 4.08139E-11
265.625 ;  ;  ; 0.01125484 ;  ; 4.23071E-11
275.0 ;  ;  ; 0.009754994 ;  ; 4.38003E-11
284.375 ;  ;  ; 0.008524449 ;  ; 4.52934E-11
293.75 ;  ;  ; 0.007503675 ;  ; 4.67866E-11
303.125 ;  ;  ; 0.006648558 ;  ; 4.82798E-11
312.5 ;  ;  ; 0.005925873 ;  ; 4.9773E-11
321.875 ;  ;  ; 0.005310229 ;  ; 5.12662E-11
331.25 ;  ;  ; 0.004781971 ;  ; 5.27594E-11
340.625 ;  ;  ; 0.004325698 ;  ; 5.42526E-11
350.0 ;  ;  ; 0.003929221 ;  ; 5.57458E-11
359.375 ;  ;  ; 0.003582789 ;  ; 5.72389E-11
368.75 ;  ;  ; 0.003278537 ;  ; 5.87321E-11
378.125 ;  ;  ; 0.003010066 ;  ; 6.02253E-11
387.5 ;  ;  ; 0.002772309 ;  ; 6.17185E-11
