Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
0.4075469 ;  ;  ; 0.1810337 ;  ;  ; 4208.767 ; 
0.409811 ;  ;  ; 0.1776028 ;  ;  ; 4035.895 ; 
0.412075 ;  ;  ; 0.1730394 ;  ;  ; 3837.009 ; 
0.4144335 ;  ;  ; 0.1673618 ;  ;  ; 3610.509 ; 
0.4167919 ;  ;  ; 0.1610419 ;  ;  ; 3372.741 ; 
0.4191504 ;  ;  ; 0.1543714 ;  ;  ; 3131.457 ; 
0.4215088 ;  ;  ; 0.1476139 ;  ;  ; 2893.296 ; 
0.4238673 ;  ;  ; 0.1409929 ;  ;  ; 2663.496 ; 
0.4262257 ;  ;  ; 0.1346887 ;  ;  ; 2445.946 ; 
0.4285841 ;  ;  ; 0.1288376 ;  ;  ; 2243.205 ; 
0.4309425 ;  ;  ; 0.1235371 ;  ;  ; 2056.725 ; 
0.4330652 ;  ;  ; 0.1192913 ;  ;  ; 1903.259 ; 
0.4351879 ;  ;  ; 0.1155741 ;  ;  ; 1763.352 ; 
0.4373106 ;  ;  ; 0.1124032 ;  ;  ; 1636.615 ; 
0.4394332 ;  ;  ; 0.1097884 ;  ;  ; 1522.456 ; 
0.4415559 ;  ;  ; 0.107735 ;  ;  ; 1420.146 ; 
0.4436785 ;  ;  ; 0.1062472 ;  ;  ; 1328.93 ; 
0.4458012 ;  ;  ; 0.1053303 ;  ;  ; 1248.032 ; 
0.4479238 ;  ;  ; 0.1049927 ;  ;  ; 1176.736 ; 
0.4490913 ;  ;  ; 0.1050584 ;  ;  ; 1141.369 ; 
0.4502588 ;  ;  ; 0.1053059 ;  ;  ; 1108.603 ; 
0.4514263 ;  ;  ; 0.1057383 ;  ;  ; 1078.347 ; 
0.4525937 ;  ;  ; 0.1063595 ;  ;  ; 1050.517 ; 
0.4537612 ;  ;  ; 0.1071738 ;  ;  ; 1025.033 ; 
0.4549286 ;  ;  ; 0.1081855 ;  ;  ; 1001.83 ; 
0.4560961 ;  ;  ; 0.1093999 ;  ;  ; 980.8427 ; 
0.4572635 ;  ;  ; 0.1108219 ;  ;  ; 962.021 ; 
0.458431 ;  ;  ; 0.1124572 ;  ;  ; 945.3139 ; 
0.4595985 ;  ;  ; 0.1143109 ;  ;  ; 930.6815 ; 
0.460766 ;  ;  ; 0.1163879 ;  ;  ; 918.0866 ; 
0.4619334 ;  ;  ; 0.1186926 ;  ;  ; 907.4964 ; 
0.4631009 ;  ;  ; 0.121229 ;  ;  ; 898.8781 ; 
0.4642683 ;  ;  ; 0.1239991 ;  ;  ; 892.2025 ; 
0.4654358 ;  ;  ; 0.1270044 ;  ;  ; 887.4368 ; 
0.4666032 ;  ;  ; 0.1302434 ;  ;  ; 884.5472 ; 
0.4683013 ;  ;  ; 0.1353648 ;  ;  ; 883.6088 ; 
0.4698642 ;  ;  ; 0.1404907 ;  ;  ; 886.0461 ; 
0.471427 ;  ;  ; 0.145982 ;  ;  ; 891.489 ; 
0.4729898 ;  ;  ; 0.1517973 ;  ;  ; 899.7382 ; 
0.4745526 ;  ;  ; 0.1578794 ;  ;  ; 910.5408 ; 
0.4761154 ;  ;  ; 0.1641555 ;  ;  ; 923.5822 ; 
0.4776782 ;  ;  ; 0.170536 ;  ;  ; 938.4814 ; 
0.4808038 ;  ;  ; 0.1831728 ;  ;  ; 971.9867 ; 
0.4825392 ;  ;  ; 0.1898175 ;  ;  ; 991.427 ; 
0.4842745 ;  ;  ; 0.1959545 ;  ;  ; 1010.396 ; 
0.4860098 ;  ;  ; 0.2013852 ;  ;  ; 1027.993 ; 
0.4877451 ;  ;  ; 0.2059151 ;  ;  ; 1043.306 ; 
0.4894804 ;  ;  ; 0.2093644 ;  ;  ; 1055.457 ; 
0.4912157 ;  ;  ; 0.211578 ;  ;  ; 1063.643 ; 
0.492951 ;  ;  ; 0.2124356 ;  ;  ; 1067.181 ; 
0.4946863 ;  ;  ; 0.211859 ;  ;  ; 1065.547 ; 
0.4958432 ;  ;  ; 0.2106609 ;  ;  ; 1061.408 ; 
0.497 ;  ;  ; 0.2088146 ;  ;  ; 1054.765 ; 
0.5 ;  ;  ; 0.201128 ;  ;  ; 1025.934 ; 
0.5038775 ;  ;  ; 0.1857928 ;  ;  ; 965.8412 ; 
0.507755 ;  ;  ; 0.166151 ;  ;  ; 885.8527 ; 
